10 1631 3591 10272 14851 4662 13172 12684 5324 3595 3404
10 12896 3391 942 8669 15800 16745 1844 1843 2819 16495
10 8800 791 2126 6331 4792 5129 5266 800 7872 3009
10 4973 756 706 721 892 2588 895 5056 2991 776
10 5758 5439 11904 13250 7798 4035 4034 761 9046 2678
10 7302 9481 670 1964 8024 809 691 8034 5531 6344
10 3292 13406 10223 6723 11253 7492 3579 6247 3917 7495
10 1545 2526 5384 8898 9422 11105 11321 11546 12899 13587
10 2461 9055 6364 6979 5768 2215 7280 11828 9849 5118
10 2000 8469 830 8703 9590 4899 2439 7786 6620 14329
10 1126 1423 3660 5216 1128 7650 2914 2992 11027 240
10 5001 2094 4609 7318 4012 1041 277 2914 2768 11135
10 4411 12259 15244 14187 16045 352 4408 2198 11277 14789
10 7054 1929 1837 4777 2589 2878 2829 8071 7000 6512
10 12681 4079 374 12571 2533 7029 13447 9533 7453 4420
10 823 4179 6359 11640 12826 15113 15708 16045 16098 16319
10 885 2635 1180 10918 3012 8020 4283 2637 9222 15928
10 3591 441 4139 2720 4667 6572 5701 2821 3481 3970
10 2464 3064 3614 4235 4629 4797 5836 5994 6863 9700
10 14177 14018 12462 13444 13874 13443 11328 14348 11158 13491
10 328 1114 5620 2368 5616 5889 5630 5883 264 994
10 5882 944 5900 1168 1210 5880 5891 1664 1007 5903
10 3687 6938 2077 3659 9759 1368 1372 1358 1115 4585
10 14556 13286 14449 14745 16493 9693 13058 13745 11956 7824
10 23 15328 380 15584 15600 14790 15676 7004 14035 2533
10 5895 1141 7554 7507 13081 2159 1713 7555 1720 4958
10 4587 12825 3970 12974 8851 12770 4018 5223 8901 6572
10 6807 6810 6798 1950 3844 10935 1084 3324 5941 740
10 226 6544 2216 5056 7827 1181 1345 1213 4343 3414
10 7018 6927 3666 7519 2609 12520 9162 2523 1974 1104
10 4761 107 3170 6423 11182 5233 4759 10780 2024 1525
10 14134 13319 14105 752 3100 8836 13898 14379 3734 618
10 10495 11091 12255 8420 2744 5774 10304 10388 4988 9893
10 15413 14365 12043 10182 14684 11838 15858 13410 16101 16609
10 7289 2221 6948 14345 9867 2351 4059 2835 4820 9964
10 13577 9056 6317 10089 10699 7898 10651 917 6739 9193
10 1130 2269 3230 6413 9580 9688 10910 11236 11977 12293
10 1820 9293 3468 3315 4755 1745 9376 32 6350 861
10 12505 15759 16166 14629 13258 13534 6325 13279 2712 14574
10 5631 5634 5622 5630 5633 5626 5620 5070 5621 5635
10 8733 11159 1247 2653 13742 8462 10098 9025 822 2389
10 10127 4454 5820 11966 6448 7515 1757 10790 1759 914
10 4256 1948 1460 1951 4251 10404 11948 1041 1947 5322
10 4181 1104 10765 3808 5588 521 3446 2397 1865 3839
10 11164 380 6766 226 8050 477 1226 2216 1706 3419
10 650 229 619 1883 1648 1885 5935 3022 3442 5591
10 131 15225 3464 14227 15754 16619 15907 14443 15471 15609
10 1810 10776 3127 7596 3212 4869 3125 2023 4404 10376
10 9147 2194 1213 2944 7612 4303 2216 1727 7954 7465
10 50 5497 13036 2240 5480 1668 4965 5930 16215 14649
10 328 2390 5793 1891 3475 1203 9586 1113 8976 4027
10 2872 10266 4681 7545 7233 14968 433 6770 3428 3003
10 6021 5039 2446 450 9307 4593 11692 4212 4865 2874
10 11571 12222 6303 10582 13062 5913 12224 12090 11682 12555
10 4143 3273 440 879 5064 5063 7701 2709 465 6660
10 2728 4528 1537 1240 12665 10280 14173 6993 7793 2718
10 705 2346 3536 5768 6783 6834 7641 8753 9055 9133
10 15364 16731 14160 10552 6159 15113 13850 14476 16958 15641
